label,Fx,Fy,Fz,Tx,Ty,Tz
normal,"[-2, -2, -2, -2, -3, -2, -2, -2, -2, -2, -2, -1, -2, -3, -2]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[81, 79, 79, 80, 79, 81, 80, 79, 79, 79, 80, 80, 78, 80, 79]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[-5, -4, -4, -4, -5, -5, -4, -4, -4, -4, -4, -4, -5, -4, -4]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
normal,"[6, 42, -5, -4, 2, 0, -3, -6, -3, -2, -4, 2, -1, -4, -4]","[-1, -3, 4, -17, 1, -5, -7, 2, 3, -9, 2, -3, -5, 5, 1]","[79, 80, 74, 93, 74, 78, 83, 71, 76, 86, 77, 81, 80, 78, 80]","[-2, 5, -15, 26, -6, 3, 8, -12, -6, 16, -5, 7, 6, -14, -3]","[4, 53, -10, -6, -3, -6, -5, -11, -9, -8, -7, 1, -6, -9, -12]","[-3, 3, -1, -3, -4, 0, -3, 1, -4, -2, 2, 9, 0, -4, 5]"
normal,"[-2, 0, -4, -2, -4, -2, 1, -8, -1, -3, -3, -6, 0, -5, -6]","[-6, 2, -5, -2, 4, 4, -9, 3, 0, -6, 8, -1, -9, 5, -10]","[85, 74, 76, 78, 76, 74, 87, 69, 83, 83, 73, 80, 87, 67, 86]","[14, -7, 7, 1, -18, -10, 13, -13, -2, 6, -19, -1, 13, -17, 16]","[-5, 1, -11, -6, -13, -9, -2, -20, -6, -14, -11, -20, -5, -16, -14]","[2, 0, 4, 1, -10, -4, -10, -5, -8, -5, -3, 6, 2, 7, -1]"
normal,"[-2, -5, 0, -2, -6, 2, -1, 1, -3, -1, -5, -4, 1, -9, -1]","[-10, 4, 1, -6, 3, -9, -8, 3, -8, -1, 4, -14, -7, 6, -9]","[86, 73, 79, 87, 73, 84, 82, 78, 88, 81, 74, 84, 78, 75, 92]","[13, -16, -5, 5, -16, 7, 6, -11, 5, -4, -17, 17, 3, -18, 11]","[-7, -18, -10, -12, -21, -6, -8, -2, -13, -10, -21, -17, -7, -28, -15]","[-5, -2, -4, -1, -5, -9, 0, -5, -3, -13, -15, -4, -2, -9, -11]"
normal,"[0, -2, 2, 1, 1, -5, -1, -6, -5, -1, -3, -4, -2, 3, -7]","[2, 4, -9, -3, -1, -6, -6, -2, -10, 5, 5, -11, 5, -3, -13]","[74, 74, 85, 77, 71, 83, 77, 77, 90, 75, 73, 89, 72, 74, 88]","[-12, -16, 11, -5, -7, 2, -2, -10, 7, -23, -19, 11, -18, -1, 12]","[-9, -15, -4, -11, -2, -21, -17, -25, -21, -16, -19, -14, -11, -7, -30]","[-5, -3, -6, -10, -3, -5, -11, -10, -9, -6, -6, -4, -9, -1, -3]"
normal,"[-2, -1, -1, 0, -4, -7, 0, 3, -3, 1, -6, -6, -6, -5, 1]","[3, 3, -7, -2, -2, -13, 1, -4, -2, -5, 0, -9, 0, -9, -3]","[70, 78, 83, 70, 75, 85, 75, 80, 83, 81, 77, 83, 77, 84, 79]","[-15, -16, 4, -12, -6, 9, -14, -2, -10, 0, -13, 3, -21, 5, -5]","[-18, -17, -14, -12, -15, -26, -9, -10, -25, -12, -31, -26, -27, -22, -16]","[-5, -4, -10, -7, -5, -4, -5, -10, -5, -8, -7, -5, -10, -10, -6]"
normal,"[-5, -4, -4, -1, -4, -3, -2, -1, -1, 1, -6, -3, -2, -3, -5]","[4, -2, -7, -2, -8, 3, 2, -7, -2, -5, -3, -5, 0, -8, 0]","[77, 80, 82, 74, 84, 81, 80, 82, 78, 76, 82, 77, 76, 79, 78]","[-20, -8, -1, -7, 0, -24, -20, -1, -16, 0, -13, -5, -19, -4, -18]","[-22, -20, -22, -15, -24, -26, -22, -18, -21, -10, -28, -20, -20, -23, -25]","[-6, -3, -9, -7, -4, -13, -9, -3, -9, -8, -9, -9, -14, -11, -9]"
normal,"[-5, -4, -1, -1, 1, -3, 0, -7, -7, -6, -3, -1, -1, 0, -2]","[4, -8, -9, -1, -5, 3, -8, 3, 1, -1, -11, -1, 4, -5, -8]","[78, 79, 78, 78, 80, 78, 78, 81, 79, 79, 77, 77, 77, 77, 79]","[-28, -5, 0, -17, -12, -31, 0, -29, -21, -21, 0, -19, -24, -6, 4]","[-28, -24, -17, -21, -18, -23, -16, -32, -29, -29, -21, -20, -20, -20, -21]","[-9, -14, -14, -9, -7, -13, -16, -12, -11, -16, -1, -8, -7, -10, -10]"
normal,"[-4, -5, -5, -3, -1, -2, -2, -4, -6, -6, -2, -4, -2, 1, -3]","[-2, 3, 2, 0, -11, -3, -2, 3, -7, -2, -9, -5, -4, -9, 1]","[81, 77, 81, 81, 76, 76, 82, 76, 83, 79, 79, 78, 81, 74, 84]","[-11, -29, -27, -28, -2, -20, -20, -26, -4, -24, -8, -17, -16, -1, -17]","[-24, -26, -25, -25, -20, -20, -22, -23, -29, -29, -24, -23, -22, -19, -24]","[-10, -6, -13, -12, -2, -7, -14, -9, -20, -17, -13, -9, 2, -4, -11]"
normal,"[-3, -1, -4, -5, 0, -1, -5, -4, -9, -5, -6, -8, -1, -3, -3]","[1, -2, -2, -5, -1, 2, -6, -13, -2, 2, -5, -2, -1, -10, 1]","[84, 76, 78, 83, 77, 82, 80, 76, 85, 83, 78, 81, 84, 73, 82]","[-26, -21, -20, -11, -22, -31, -9, 6, -17, -27, -15, -20, -20, -7, -24]","[-22, -20, -27, -28, -21, -18, -29, -26, -33, -25, -27, -33, -18, -19, -24]","[-11, -17, -12, -11, -18, -11, -14, -11, -13, -10, -11, -10, -5, -8, -1]"
